client_id,first_issue_date,first_redeem_date,age,gender,first_name,middle_name,last_name
858259100041,2022-05-27 04:56:59,2025-04-24 14:51:21,27,Female,Ngoc,Minh,Minh
616196939848,2024-12-27 02:48:15,2025-05-25 18:05:40,62,Female,Ho Thi,Minh,Linh
318455639845,2024-08-09 05:57:03,2025-02-02 14:03:11,30,Other,Dang,Nhat,Phuong
200859354405,2020-05-26 13:12:34,2022-07-12 03:46:36,61,Male,Truong,Duc,Thao
865767519839,2024-05-11 14:35:05,2024-07-01 09:07:23,46,Non-binary,Tran,Phuoc,Ngoc
899033032728,2024-08-02 22:08:23,2025-05-02 04:25:13,64,Binary,Pham Van,Thi,Tam
882809910140,2020-12-25 00:44:42,2022-02-17 02:45:55,25,Non-binary,"[\"John\", \"Jane\", \"Michael\", \"Sarah\", \"David\", \"Emily\", \"Daniel\", \"Jessica\", \"Matthew\", \"Ashley\", \"Christopher\", \"Amanda\", \"Joshua\", \"Megan\", \"Andrew\"]",Hai,Linh
877318558281,2020-05-07 20:44:02,2022-08-14 09:35:19,22,Male,Tran,Tuan,"[\"Smith\", \"Johnson\", \"Williams\", \"Jones\", \"Brown\", \"Davis\", \"Miller\", \"Wilson\", \"Moore\", \"Taylor\", \"Anderson\", \"Thomas\", \"Jackson\", \"White\", \"Harris\"]"
669846011814,2024-09-23 13:14:27,2025-01-27 14:11:08,43,Male,Nguyen Van,Thi,Tram
386554724284,2022-03-15 09:51:52,2023-08-06 08:04:28,58,Female,Hoang,Huu,Quynh
487753412383,2023-06-27 00:17:11,2024-05-11 06:17:26,28,Non-binary,Vu,Khanh,Minh
961961677563,2025-01-21 17:11:20,2025-02-13 14:18:02,58,Female,Dang,Huu,Mai
297858110173,2022-04-03 05:47:01,2024-01-30 17:43:46,42,Other,Bui,Phuoc,Nhi
550496968459,2020-07-24 01:11:38,2020-11-21 13:07:51,26,Binary,Ho Thi,Trung,Nhi
119681787992,2020-04-04 19:58:27,2021-08-05 03:37:04,24,Female,Ho Thi,"[\"James\", \"Robert\", \"William\", \"David\", \"Richard\", \"Joseph\", \"Charles\", \"Thomas\", \"Christopher\", \"Daniel\", \"Matthew\", \"Anthony\", \"Mark\", \"Donald\", \"Steven\"]",Nhi
308753092128,2023-02-05 04:52:42,2023-12-31 19:04:28,43,Female,"[\"John\", \"Jane\", \"Michael\", \"Sarah\", \"David\", \"Emily\", \"Daniel\", \"Jessica\", \"Matthew\", \"Ashley\", \"Christopher\", \"Amanda\", \"Joshua\", \"Megan\", \"Andrew\"]",Khanh,Quynh
189366785663,2022-09-27 08:01:57,2023-06-29 23:59:57,28,Female,Ha,Thi,"[\"Smith\", \"Johnson\", \"Williams\", \"Jones\", \"Brown\", \"Davis\", \"Miller\", \"Wilson\", \"Moore\", \"Taylor\", \"Anderson\", \"Thomas\", \"Jackson\", \"White\", \"Harris\"]"
857505144445,2025-02-09 22:58:14,2025-03-03 18:16:24,23,Female,Le Thi,Thanh,Hanh
506636179447,2021-01-05 11:46:54,2024-07-18 18:07:55,21,Other,Nguyen Thi,Trung,Nhi
709021818254,2022-10-15 00:07:59,2022-10-20 14:46:50,45,Female,Dang,"[\"James\", \"Robert\", \"William\", \"David\", \"Richard\", \"Joseph\", \"Charles\", \"Thomas\", \"Christopher\", \"Daniel\", \"Matthew\", \"Anthony\", \"Mark\", \"Donald\", \"Steven\"]",Thuy
276917106518,2021-08-18 07:57:51,2021-09-16 00:07:18,35,Other,Tran,Hai,Trang
293322576222,2020-02-09 05:29:55,2025-02-25 12:04:00,35,Non-binary,Truong,Minh,Thao
499727579175,2023-06-22 21:06:39,2023-11-25 12:40:14,38,Other,Ly,Phuoc,Trang
594869473891,2021-03-03 02:38:57,2024-05-20 16:24:15,51,Non-binary,Do,Thien,Tram
233161548679,2022-08-05 19:04:22,2022-10-02 21:19:22,18,Male,Le Van,Minh,Quynh
950624846799,2020-11-24 06:02:49,2022-05-12 05:42:39,42,Other,Phan,Huu,Nhi
233295512502,2022-02-25 23:20:07,2023-09-14 00:11:42,26,Male,Ho Thi,Thi,Lan
103532399858,2022-11-26 04:21:58,2024-02-25 20:11:50,62,Non-binary,Ha,Phuoc,Thuy
465605635724,2020-07-22 20:08:18,2024-04-26 08:06:27,46,Other,Tran,Minh,Thao
124645177860,2023-04-29 23:24:32,2024-04-02 12:39:57,62,Female,"[\"John\", \"Jane\", \"Michael\", \"Sarah\", \"David\", \"Emily\", \"Daniel\", \"Jessica\", \"Matthew\", \"Ashley\", \"Christopher\", \"Amanda\", \"Joshua\", \"Megan\", \"Andrew\"]",Thi,Thao
732302051837,2021-06-03 08:10:10,2022-01-03 15:16:54,45,Binary,Ly,Duc,Tram
376676171069,2022-03-06 21:27:26,2025-03-06 03:41:40,57,Non-binary,Le Van,Phuoc,Thao
113897642169,2023-06-20 10:06:53,2024-03-24 16:51:07,62,Other,Truong,Phuoc,"[\"Smith\", \"Johnson\", \"Williams\", \"Jones\", \"Brown\", \"Davis\", \"Miller\", \"Wilson\", \"Moore\", \"Taylor\", \"Anderson\", \"Thomas\", \"Jackson\", \"White\", \"Harris\"]"
455287055379,2022-02-06 19:41:32,2024-08-05 12:39:45,48,Other,Hoang,"[\"James\", \"Robert\", \"William\", \"David\", \"Richard\", \"Joseph\", \"Charles\", \"Thomas\", \"Christopher\", \"Daniel\", \"Matthew\", \"Anthony\", \"Mark\", \"Donald\", \"Steven\"]",Nhi
695374620231,2025-01-10 11:04:08,2025-06-03 12:33:50,35,Female,Pham Van,Nhat,Linh
820464207069,2024-05-23 14:18:14,2024-08-22 03:42:04,57,Female,Ho Thi,"[\"Lee\", \"Kim\", \"Park\", \"Choi\", \"Lim\", \"Yoon\", \"Cho\", \"Kwon\", \"Im\", \"Jung\", \"Oh\", \"Seo\", \"Han\", \"Ryu\", \"Hwang\"]",Tram
368859269560,2020-06-03 13:32:53,2021-09-25 08:38:03,65,Female,Ly,Thien,Phuong
288539091961,2021-10-15 12:49:55,2024-02-15 13:23:56,63,Other,Le Van,Thien,Minh
944850043688,2020-02-11 00:48:53,2024-01-13 06:16:53,53,Non-binary,Dang,Van,Nhi
696454376328,2025-04-30 02:22:50,2025-05-08 01:58:29,54,Binary,Vu,Thien,Minh
888038838878,2020-07-10 05:01:47,2021-01-04 09:29:09,30,Other,Nguyen Thi,Thi,Thao
868526024326,2021-07-18 20:07:49,2022-10-13 19:34:22,43,Male,Ha,Nhat,Phuong
840067646251,2025-05-06 17:09:31,2025-05-07 00:55:55,18,Binary,Bui,Hanh,Hanh
719369077679,2023-05-26 16:51:20,2025-06-02 13:39:49,46,Binary,Ho Thi,Quoc,Linh
254576633128,2020-01-31 08:49:35,2022-03-17 05:36:27,38,Non-binary,Ly,Khanh,Yen
808602000218,2023-02-15 23:41:25,2025-04-01 18:42:56,22,Non-binary,Le Van,Nhat,Trang
564609211239,2021-03-01 11:36:07,2024-11-14 18:32:12,54,Binary,Le Van,Phuoc,"[\"Smith\", \"Johnson\", \"Williams\", \"Jones\", \"Brown\", \"Davis\", \"Miller\", \"Wilson\", \"Moore\", \"Taylor\", \"Anderson\", \"Thomas\", \"Jackson\", \"White\", \"Harris\"]"
722032213959,2020-11-13 06:15:18,2020-12-01 12:16:22,38,Other,Le,Tam,Thuy
837403368137,2021-07-20 02:23:36,2024-04-08 21:31:15,30,Female,Truong,Khanh,Lan
262161649818,2022-07-21 06:50:41,2025-05-06 13:42:17,51,Non-binary,Ngo,Trung,"[\"Smith\", \"Johnson\", \"Williams\", \"Jones\", \"Brown\", \"Davis\", \"Miller\", \"Wilson\", \"Moore\", \"Taylor\", \"Anderson\", \"Thomas\", \"Jackson\", \"White\", \"Harris\"]"
290145891974,2023-11-02 14:31:57,2025-01-31 18:42:48,51,Female,Tran Van,Minh,Mai
295339894093,2023-03-16 07:11:34,2025-01-23 08:25:31,61,Female,Nguyen Van,Duc,Minh
863264816144,2022-12-11 00:31:09,2024-04-10 08:07:31,42,Binary,Tran,Tuan,Thao
571363532453,2023-05-21 00:35:31,2024-06-12 15:44:22,26,Male,Le,Tam,Hanh
765364301472,2024-11-30 01:40:42,2024-11-30 09:32:36,49,Male,Duong,Phuoc,Lan
540934195267,2021-02-16 07:08:55,2025-03-30 21:56:53,28,Binary,Ngo,Minh,Quynh
987374065402,2023-10-06 11:38:01,2024-08-28 22:51:04,25,Other,Ha,Van,Phuong
897039143286,2020-12-29 18:42:32,2021-03-22 08:03:24,48,Other,Le Van,"[\"James\", \"Robert\", \"William\", \"David\", \"Richard\", \"Joseph\", \"Charles\", \"Thomas\", \"Christopher\", \"Daniel\", \"Matthew\", \"Anthony\", \"Mark\", \"Donald\", \"Steven\"]",Hanh
582467225456,2023-12-04 00:32:11,2024-08-29 21:24:33,37,Non-binary,Do,Khanh,Thuy
557213220646,2022-02-04 17:43:58,2024-01-05 05:50:37,33,Female,Duong,"[\"Lee\", \"Kim\", \"Park\", \"Choi\", \"Lim\", \"Yoon\", \"Cho\", \"Kwon\", \"Im\", \"Jung\", \"Oh\", \"Seo\", \"Han\", \"Ryu\", \"Hwang\"]","[\"Smith\", \"Johnson\", \"Williams\", \"Jones\", \"Brown\", \"Davis\", \"Miller\", \"Wilson\", \"Moore\", \"Taylor\", \"Anderson\", \"Thomas\", \"Jackson\", \"White\", \"Harris\"]"
798711400684,2025-03-02 06:47:40,2025-04-02 11:58:49,20,Female,Le Thi,Duc,Tram
825472069235,2024-07-03 00:19:50,2025-04-28 22:18:43,32,Male,Ha,Tuan,Tuyet
357368842597,2021-02-22 23:02:07,2021-11-15 04:30:37,36,Binary,Le Thi,Minh,Thuy
615992599602,2020-07-24 21:32:38,2023-07-19 16:41:19,48,Other,Ha,Minh,Trang
914264466504,2020-04-03 21:18:15,2025-04-21 02:44:16,36,Non-binary,Le,Nhat,Nhi
379540354879,2021-02-24 08:19:01,2024-05-20 10:47:48,30,Male,Nguyen,Nhat,Tuyet
869209789044,2020-12-23 18:40:23,2023-05-21 18:09:26,45,Other,Ho Thi,Trung,Tram
481867377619,2023-08-12 01:37:56,2024-06-23 11:22:01,58,Binary,Tran,Tam,Mai
246766348984,2023-07-23 00:24:10,2024-09-18 07:27:08,27,Female,Ho Thi,Hai,Thuy
952357768826,2023-12-30 21:48:23,2025-03-23 01:45:11,20,Male,Nguyen Van,Phuoc,Mai
815227384848,2022-08-27 15:10:20,2025-03-17 21:44:04,53,Binary,Dang,Quoc,Nhi
124083432718,2020-02-16 03:02:04,2023-11-21 11:21:54,40,Male,Do,Thi,Mai
324665444962,2021-09-13 02:11:15,2025-03-04 14:25:05,40,Other,Ly,Duc,Phuong
744611649990,2022-01-10 00:30:22,2024-10-01 18:51:24,34,Male,Ha,Tam,Yen
776994396427,2025-05-27 13:19:00,2025-05-30 12:48:29,44,Binary,Duong,Nhat,Minh
443995444280,2023-07-11 00:16:15,2024-01-27 01:26:48,40,Binary,Dang,Quoc,Phuong
715193238964,2025-03-05 09:12:10,2025-06-04 10:29:05,48,Male,Le Thi,Trung,"[\"Smith\", \"Johnson\", \"Williams\", \"Jones\", \"Brown\", \"Davis\", \"Miller\", \"Wilson\", \"Moore\", \"Taylor\", \"Anderson\", \"Thomas\", \"Jackson\", \"White\", \"Harris\"]"
643519842550,2023-10-22 23:05:39,2024-03-18 18:24:09,55,Binary,Ngo,Duc,Thao
395077893862,2024-08-13 14:24:37,2025-03-22 19:19:52,51,Male,"[\"John\", \"Jane\", \"Michael\", \"Sarah\", \"David\", \"Emily\", \"Daniel\", \"Jessica\", \"Matthew\", \"Ashley\", \"Christopher\", \"Amanda\", \"Joshua\", \"Megan\", \"Andrew\"]",Trung,Trang
829233667511,2023-11-26 16:28:49,2024-01-14 20:04:26,61,Other,Tran,Hai,Minh
151020732457,2024-01-18 13:54:29,2025-05-05 04:21:05,43,Other,Vu,Minh,Tuyet
714484587330,2021-05-14 10:26:01,2024-01-20 12:15:11,33,Binary,Dang,Tuan,Thao
677832046032,2022-05-15 16:12:32,2025-01-19 13:35:41,24,Other,Pham Van,Hai,Mai
646212665106,2024-02-29 05:29:44,2024-05-08 14:37:12,21,Male,Nguyen Van,Van,Hoa
936291783542,2022-12-13 16:07:19,2024-04-04 08:24:11,18,Male,Le Thi,Duc,Quynh
858380828902,2025-03-02 19:08:15,2025-05-25 14:40:45,28,Male,Bui,"[\"Lee\", \"Kim\", \"Park\", \"Choi\", \"Lim\", \"Yoon\", \"Cho\", \"Kwon\", \"Im\", \"Jung\", \"Oh\", \"Seo\", \"Han\", \"Ryu\", \"Hwang\"]",Thuy
662251743315,2024-05-10 08:32:11,2025-04-10 18:30:38,56,Female,Phan,Duc,Phuong
391787035885,2021-06-20 01:48:22,2021-07-08 18:46:45,52,Male,Vo,Duc,Trang
430542194256,2024-06-11 00:29:12,2024-08-20 02:56:35,62,Male,Vo,Tam,Hanh
731766888454,2023-05-30 05:53:30,2023-11-01 18:12:29,23,Female,"[\"John\", \"Jane\", \"Michael\", \"Sarah\", \"David\", \"Emily\", \"Daniel\", \"Jessica\", \"Matthew\", \"Ashley\", \"Christopher\", \"Amanda\", \"Joshua\", \"Megan\", \"Andrew\"]",Khanh,Thuy
462940294676,2022-01-26 08:15:25,2022-02-14 04:30:17,57,Other,Tran Van,Thi,Phuong
830400251388,2024-05-02 20:40:13,2024-11-27 17:04:57,39,Female,Ho Thi,Thien,Tuyet
415397094293,2020-11-29 15:26:28,2024-03-14 06:20:52,37,Other,"[\"John\", \"Jane\", \"Michael\", \"Sarah\", \"David\", \"Emily\", \"Daniel\", \"Jessica\", \"Matthew\", \"Ashley\", \"Christopher\", \"Amanda\", \"Joshua\", \"Megan\", \"Andrew\"]",Thien,Mai
489278633977,2021-12-01 17:51:40,2023-06-14 17:23:49,60,Binary,Tran Thi,Hai,Thuy
377497780307,2024-06-21 07:09:14,2025-03-26 13:31:13,49,Male,Ngo,Huu,Yen
150398807182,2024-09-01 17:26:06,2024-10-06 15:52:38,45,Female,Bui,Phuoc,Minh
468930365840,2021-10-08 17:02:07,2023-01-11 09:09:52,34,Female,Ngoc,Thanh,Linh
561355263378,2025-01-02 17:27:09,2025-03-02 19:06:51,24,Female,Duong,Van,Thao
260452245895,2020-02-25 02:11:52,2023-07-28 11:22:16,45,Other,Le,Hai,Tram
369245245347,2021-12-22 20:40:03,2023-05-19 14:43:35,57,Binary,Do,Duc,Linh
348441312465,2023-10-23 22:17:08,2024-10-28 05:57:11,27,Male,Vu,Trung,Mai
292839098205,2021-03-21 13:18:12,2023-07-12 07:39:44,52,Other,Duong,Thanh,Tam
487877759425,2021-08-22 02:41:43,2022-12-07 12:17:37,47,Female,Tran Thi,Huu,Nhi
904594229215,2024-03-23 13:20:03,2025-04-03 16:46:23,23,Female,Nguyen,Van,Phuong
427546633181,2024-04-20 09:59:01,2024-08-29 09:05:31,32,Female,Do,Hai,Phuong
240830914582,2024-12-26 06:41:11,2025-06-03 05:02:13,62,Female,Le Thi,Tuan,Nhi
350531332624,2020-04-16 08:17:33,2022-11-13 00:40:43,21,Male,Vo,Trung,Nhi
547796988336,2020-04-07 19:19:36,2025-03-19 13:56:32,22,Male,Nguyen,Nhat,Nhi
290259239606,2022-04-09 08:24:25,2025-05-22 16:40:25,46,Other,Vo,Van,Thuy
222109666379,2025-01-30 20:32:23,2025-02-11 13:13:06,45,Female,Phan,Hanh,Hoa
780108845778,2021-04-18 08:41:47,2021-07-08 12:23:09,23,Female,Tran Thi,"[\"James\", \"Robert\", \"William\", \"David\", \"Richard\", \"Joseph\", \"Charles\", \"Thomas\", \"Christopher\", \"Daniel\", \"Matthew\", \"Anthony\", \"Mark\", \"Donald\", \"Steven\"]",Phuong
623489595321,2021-08-24 11:26:50,2025-01-28 12:30:34,30,Binary,Pham,Van,Nhi
313493479506,2022-11-08 19:13:59,2023-06-27 15:06:24,19,Non-binary,Hoang,Trung,Thuy
399734090525,2021-03-10 10:25:15,2023-01-22 01:37:51,47,Non-binary,Phan,Hai,Trang
870161449856,2022-11-07 00:42:47,2025-04-20 13:13:11,33,Non-binary,Tran Thi,Duc,Linh
645582208510,2022-04-24 12:49:33,2024-10-06 20:16:10,54,Other,Ngoc,Thien,Linh
454294205259,2020-03-31 04:16:53,2020-10-18 01:30:10,34,Female,Nguyen,Duc,"[\"Smith\", \"Johnson\", \"Williams\", \"Jones\", \"Brown\", \"Davis\", \"Miller\", \"Wilson\", \"Moore\", \"Taylor\", \"Anderson\", \"Thomas\", \"Jackson\", \"White\", \"Harris\"]"
662031862645,2020-07-05 01:52:46,2024-08-12 22:28:13,49,Female,Tran Thi,Thien,Lan
