client_id,first_issue_date,first_redeem_date,age,gender,first_name,middle_name,last_name
801540545115,2024-10-02 00:17:23,2025-01-05 16:48:37,54,Male,Hoang,Thanh,Phuong
837460047245,2021-03-03 08:24:54,2024-12-19 18:01:31,20,Binary,Ngoc,Tam,Nhi
373006270529,2022-03-06 21:37:28,2025-01-24 09:39:19,45,Non-binary,Ngoc,Huu,Lan
787065033242,2022-01-13 09:08:33,2023-04-15 17:42:28,44,Non-binary,Tran,Nhat,Tram
529520600859,2024-05-22 14:46:56,2025-04-11 01:28:51,58,Male,Truong,Khanh,Yen
842940505271,2023-12-01 06:24:09,2024-05-07 16:07:57,23,Female,Ngo,Huu,Quynh
674563257409,2022-12-04 21:41:20,2023-08-19 19:45:43,51,Female,Le,Van,Mai
675757635911,2023-09-10 18:55:26,2024-02-09 00:22:46,19,Female,Le Thi,Nhat,Tuyet
196019996296,2024-10-26 06:36:23,2025-04-04 22:55:43,37,Female,Tran Van,Tam,"[\"Smith\", \"Johnson\", \"Williams\", \"Jones\", \"Brown\", \"Davis\", \"Miller\", \"Wilson\", \"Moore\", \"Taylor\", \"Anderson\", \"Thomas\", \"Jackson\", \"White\", \"Harris\"]"
103654482261,2020-02-18 23:02:22,2020-09-27 04:26:05,45,Female,Vu,Tam,Thao
869800584631,2022-06-17 03:23:50,2024-12-24 00:08:38,31,Female,Pham Van,"[\"Lee\", \"Kim\", \"Park\", \"Choi\", \"Lim\", \"Yoon\", \"Cho\", \"Kwon\", \"Im\", \"Jung\", \"Oh\", \"Seo\", \"Han\", \"Ryu\", \"Hwang\"]",Ngoc
531255589643,2024-11-06 00:22:52,2024-11-09 05:39:34,43,Male,Tran,Duc,Quynh
463130762246,2022-11-19 18:06:40,2024-12-25 01:57:01,40,Non-binary,Nguyen Thi,Thanh,Nhi
411835070074,2022-01-27 06:19:12,2024-03-15 14:39:39,35,Male,Do,"[\"Lee\", \"Kim\", \"Park\", \"Choi\", \"Lim\", \"Yoon\", \"Cho\", \"Kwon\", \"Im\", \"Jung\", \"Oh\", \"Seo\", \"Han\", \"Ryu\", \"Hwang\"]",Nhi
404950144749,2020-06-02 03:31:28,2023-12-13 06:05:52,52,Non-binary,"[\"John\", \"Jane\", \"Michael\", \"Sarah\", \"David\", \"Emily\", \"Daniel\", \"Jessica\", \"Matthew\", \"Ashley\", \"Christopher\", \"Amanda\", \"Joshua\", \"Megan\", \"Andrew\"]",Thien,"[\"Smith\", \"Johnson\", \"Williams\", \"Jones\", \"Brown\", \"Davis\", \"Miller\", \"Wilson\", \"Moore\", \"Taylor\", \"Anderson\", \"Thomas\", \"Jackson\", \"White\", \"Harris\"]"
